p door m factors_of_m added_to_S S_after
433	+1	432	2·3	—	{2,3,5,7,11,13,17,19,23,29,37,41,43,79,89,97}
439	+1	438	2·3·73	73	{2,3,5,7,11,13,17,19,23,29,37,41,43,73,79,89,97}
443	+1	442	2·13·17	—	{2,3,5,7,11,13,17,19,23,29,37,41,43,73,79,89,97}
449	+1	448	2·7	—	{2,3,5,7,11,13,17,19,23,29,37,41,43,73,79,89,97}
457	+1	456	2·3·19	—	{2,3,5,7,11,13,17,19,23,29,37,41,43,73,79,89,97}
461	+1	460	2·5·23	—	{2,3,5,7,11,13,17,19,23,29,37,41,43,73,79,89,97}
463	+1	462	2·3·7·11	—	{2,3,5,7,11,13,17,19,23,29,37,41,43,73,79,89,97}
467	+3	464	2·29	—	{2,3,5,7,11,13,17,19,23,29,37,41,43,73,79,89,97}
479	+3	476	2·7·17	—	{2,3,5,7,11,13,17,19,23,29,37,41,43,73,79,89,97}
487	+1	486	2·3	—	{2,3,5,7,11,13,17,19,23,29,37,41,43,73,79,89,97}
491	+1	490	2·5·7	—	{2,3,5,7,11,13,17,19,23,29,37,41,43,73,79,89,97}
499	+3	496	2·31	31	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,73,79,89,97}
503	+3	500	2·5	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,73,79,89,97}
509	+3	506	2·11·23	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,73,79,89,97}
521	+1	520	2·5·13	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,73,79,89,97}
523	+1	522	2·3·29	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,73,79,89,97}
541	+1	540	2·3·5	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,73,79,89,97}
547	+1	546	2·3·7·13	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,73,79,89,97}
557	+1	556	2·139	139	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,73,79,89,97,139}
563	+3	560	2·5·7	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,73,79,89,97,139}
569	+1	568	2·71	71	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,139}
571	+1	570	2·3·5·19	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,139}
577	+1	576	2·3	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,139}
587	+3	584	2·73	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,139}
593	+1	592	2·37	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,139}
599	+1	598	2·13·23	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,139}
601	+1	600	2·3·5	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,139}
607	+1	606	2·3·101	101	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,101,139}
613	+1	612	2·3·17	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,101,139}
617	+1	616	2·7·11	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,101,139}
619	+3	616	2·7·11	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,101,139}
631	+1	630	2·3·5·7	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,101,139}
641	+1	640	2·5	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,101,139}
643	+3	640	2·5	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,101,139}
647	+1	646	2·17·19	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,101,139}
653	+3	650	2·5·13	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,101,139}
659	+3	656	2·41	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,101,139}
661	+1	660	2·3·5·11	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,101,139}
673	+1	672	2·3·7	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,101,139}
677	+1	676	2·13	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,101,139}
683	+1	682	2·11·31	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,101,139}
691	+1	690	2·3·5·23	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,101,139}
701	+1	700	2·5·7	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,71,73,79,89,97,101,139}
709	+1	708	2·3·59	59	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139}
719	+3	716	2·179	179	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179}
727	+1	726	2·3·11	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179}
733	+3	730	2·5·73	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179}
739	+1	738	2·3·41	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179}
743	+3	740	2·5·37	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179}
751	+1	750	2·3·5	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179}
757	+1	756	2·3·7	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179}
761	+1	760	2·5·19	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179}
769	+1	768	2·3	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179}
773	+3	770	2·5·7·11	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179}
787	+3	784	2·7	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179}
797	+1	796	2·199	199	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179,199}
809	+1	808	2·101	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179,199}
811	+1	810	2·3·5	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179,199}
821	+1	820	2·5·41	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179,199}
823	+3	820	2·5·41	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179,199}
827	+1	826	2·7·59	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179,199}
829	+1	828	2·3·23	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179,199}
839	+3	836	2·11·19	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179,199}
