X,lam_lo,lam_hi,n_q,mu_emp,lam_mean,P0_emp,exp_m_mu,exp_m_lam,g,under,tilde_g,logX_g,var_N,var_over_mu,P_N0,P_N1,P_N2,P_Nge3,m2_fact,m3_fact,m4_fact,kappa2F,kappa3F,kappa4F,S2,S3
1000000000,1.1892071,1.4142136,389182,1.25266585,1.29544001,0.23920685,0.28574204,0.27377737,0.03457052,0.04653519,0.96436104,0.71641418,0.96204246,0.76799608,0.23920685,0.39434249,0.26100899,0.10544167,1.27854834,1.02894276,0.63147833,-2.90623387e-01,1.55456898e-01,-1.26921617e-01,2.90623387e-01,7.77284492e-02
1000000000,1.4142136,1.6817928,330111,1.52266359,1.54054948,0.17139992,0.21813010,0.21426334,0.04286341,0.04673018,0.96840195,0.88826990,1.13923557,0.74818599,0.17139992,0.35528958,0.29882070,0.17448979,1.93507638,1.99860047,1.60767742,-3.83428022e-01,2.19793895e-01,-2.13647703e-01,3.83428022e-01,1.09896947e-01
1000000000,1.6817928,2,280857,1.78136917,1.83196947,0.12649142,0.16840741,0.16009795,0.03360653,0.04191599,0.86863629,0.69643708,1.32232842,0.74231015,0.12649142,0.30684298,0.31567310,0.25099250,2.71423536,3.46258772,3.59115137,-4.59040749e-01,2.62974618e-01,-2.44526370e-01,4.59040749e-01,1.31487309e-01
1000000000,2,2.3784142,238298,2.14337091,2.17870502,0.08188906,0.11725891,0.11318801,0.03129895,0.03536984,0.73297868,0.64861642,1.57957152,0.73695668,0.08188906,0.24367389,0.30906260,0.36537445,4.03023945,6.55231685,9.02228302,-5.63799390e-01,3.30881289e-01,-3.32626630e-01,5.63799390e-01,1.65440645e-01
1000000000,2.3784142,2.8284271,202392,2.55680560,2.59075984,0.04949800,0.07755208,0.07496306,0.02546505,0.02805407,0.58137202,0.52771910,1.86550311,0.72962258,0.04949800,0.17877683,0.28049528,0.49122989,5.84595241,11.84406498,21.01588996,-6.91302492e-01,4.32153271e-01,-4.57913083e-01,6.91302492e-01,2.16076636e-01
1000000000,2.8284271,3.3635857,172234,3.04711613,3.08088967,0.02761940,0.04749570,0.04591839,0.01829898,0.01987630,0.41190178,0.37921473,2.20146227,0.72247403,0.02761940,0.11898348,0.22907208,0.62432505,8.43926286,21.07486327,47.00716467,-8.45653863e-01,5.13060305e-01,-4.90368462e-01,8.45653863e-01,2.56530152e-01
1000000000,3.3635857,4,146123,3.62411119,3.66397886,0.01297537,0.02667279,0.02563033,0.01265496,0.01369742,0.28385535,0.26225210,2.58218030,0.71250030,0.01297537,0.06996161,0.16872087,0.74834215,12.09225105,37.03121343,103.74662442,-1.04193090e+00,7.59697902e-01,-9.20429746e-01,1.04193090e+00,3.79848951e-01
10000000000,0.5,0.59460356,7048367,0.51573776,0.54464405,0.56611524,0.59705995,0.58004822,0.01393297,0.03094470,0.71252810,0.32081857,0.42397793,0.82208045,0.56611524,0.35721125,0.07157431,0.00509920,0.17422560,0.03204061,0.00192725,-9.17598316e-02,3.68339102e-02,-2.36264776e-02,9.17598316e-02,1.84169551e-02
10000000000,0.59460356,0.70710678,5976271,0.60019333,0.64769546,0.51505847,0.54870554,0.52325024,0.00819177,0.03364707,0.77475250,0.18862249,0.49120258,0.81840726,0.51505847,0.37976089,0.09540715,0.00977349,0.25124128,0.06399911,0.00714425,-1.08990751e-01,4.40368062e-02,-2.84104458e-02,1.08990751e-01,2.20184031e-02
10000000000,0.70710678,0.84089642,5069425,0.75649625,0.77023793,0.43030561,0.46930789,0.46290292,0.03259731,0.03900228,0.89806070,0.75058079,0.60952694,0.80572368,0.43030561,0.40724047,0.13958644,0.02286748,0.42531727,0.16436420,0.03757586,-1.46969306e-01,6.49767411e-02,-4.67032750e-02,1.46969306e-01,3.24883705e-02
10000000000,0.84089642,1,4299307,0.86374060,0.91597466,0.38148543,0.42158216,0.40012645,0.01864101,0.04009673,0.92326121,0.42922519,0.69429826,0.80382729,0.38148543,0.41289305,0.16936520,0.03625631,0.57660549,0.28004699,0.08940045,-1.69442335e-01,7.47178751e-02,-5.29939493e-02,1.69442335e-01,3.73589375e-02
10000000000,1,1.1892071,3646623,1.07419385,1.08927297,0.29872542,0.34157300,0.33646102,0.03773560,0.04284758,0.98660199,0.86889430,0.84986776,0.79116797,0.29872542,0.40906806,0.22187651,0.07033000,0.92956634,0.62286998,0.30656309,-2.24326086e-01,1.06274939e-01,-7.94217369e-02,2.24326086e-01,5.31374694e-02
10000000000,1.1892071,1.4142136,3094255,1.28623853,1.29536277,0.23315467,0.27630816,0.27379852,0.04064385,0.04315349,0.99364576,0.93585925,1.00487935,0.78125428,0.23315467,0.38760348,0.26335257,0.11588929,1.37305038,1.18196658,0.78989482,-2.81359175e-01,1.39686303e-01,-1.10444884e-01,2.81359175e-01,6.98431516e-02
10000000000,1.4142136,1.6817928,2624521,1.50479992,1.54048633,0.18112105,0.22206172,0.21427687,0.03315582,0.04094067,0.94269373,0.76344090,1.16901476,0.77685727,0.18112105,0.35459232,0.29157816,0.17270847,1.92863764,2.06247921,1.79326894,-3.35785165e-01,1.70844411e-01,-1.38785858e-01,3.35785165e-01,8.54222057e-02
