X,bin_type,bin_lo,bin_hi,H_bin,P_bin,residual,rel
10000000000,u,0.8,0.9,28844630,27657927.993790,1186702.006210,0.04290640
10000000000,u,0.9,1.0,30236418,30479132.630228,-242714.630228,-0.00796331
10000000000,decade,1,10,2,2.000000,0.000000,0.00000000
10000000000,decade,10,100,21,21.000000,0.000000,0.00000000
10000000000,decade,100,1000,143,143.000000,0.000000,0.00000000
10000000000,decade,1000,10000,1061,1061.000000,0.000000,0.00000000
10000000000,decade,10000,100000,8363,8363.000000,0.000000,0.00000000
10000000000,decade,100000,1000000,68906,68906.000000,0.000000,0.00000000
10000000000,decade,1000000,10000000,586081,586081.000000,0.000000,0.00000000
10000000000,decade,10000000,100000000,5093359,5087701.846015,5657.153985,0.00111193
10000000000,decade,100000000,1000000000,28844630,27657927.993790,1186702.006210,0.04290640
10000000000,decade,1000000000,10000000000,30236418,30479132.630228,-242714.630228,-0.00796331
10000000000,total_le_half,0,5000000000,64838984,63889339.469992,949644.530008,0.01486390
10000000000,u_trunc_q,0.0,0.1,2,2.000000,0.000000,0.00000000
10000000000,u_trunc_q,0.1,0.2,21,21.000000,0.000000,0.00000000
10000000000,u_trunc_q,0.2,0.3,143,143.000000,0.000000,0.00000000
10000000000,u_trunc_q,0.3,0.4,1061,1061.000000,0.000000,0.00000000
10000000000,u_trunc_q,0.4,0.5,8363,8363.000000,0.000000,0.00000000
10000000000,u_trunc_q,0.5,0.6,68906,68906.000000,0.000000,0.00000000
10000000000,u_trunc_q,0.6,0.7,586081,586081.000000,0.000000,0.00000000
10000000000,u_trunc_q,0.7,0.8,5093359,5086617.663198,6741.336802,0.00132531
10000000000,u_trunc_q,0.8,0.9,28844630,25813104.128472,3031525.871528,0.11744135
10000000000,u_trunc_q,0.9,1.0,30236418,15425542.834471,14810875.165529,0.96015261
10000000000,u_trunc_qm1,0.0,0.1,2,2.000000,0.000000,0.00000000
10000000000,u_trunc_qm1,0.1,0.2,21,21.000000,0.000000,0.00000000
10000000000,u_trunc_qm1,0.2,0.3,143,143.000000,0.000000,0.00000000
10000000000,u_trunc_qm1,0.3,0.4,1061,1061.000000,0.000000,0.00000000
10000000000,u_trunc_qm1,0.4,0.5,8363,8363.000000,0.000000,0.00000000
10000000000,u_trunc_qm1,0.5,0.6,68906,68906.000000,0.000000,0.00000000
10000000000,u_trunc_qm1,0.6,0.7,586081,586081.000000,0.000000,0.00000000
10000000000,u_trunc_qm1,0.7,0.8,5093359,5086617.663832,6741.336168,0.00132531
10000000000,u_trunc_qm1,0.8,0.9,28844630,25813104.160017,3031525.839983,0.11744135
10000000000,u_trunc_qm1,0.9,1.0,30236418,15425542.842617,14810875.157383,0.96015261
10000000000,total_trunc_q,0,5000000000,64838984,46989841.626203,17849142.373797,0.37985109
10000000000,total_trunc_qm1,0,5000000000,64838984,46989841.666526,17849142.333474,0.37985108
20000000000,u,0.0,0.1,2,2.000000,0.000000,0.00000000
20000000000,u,0.1,0.2,26,26.000000,0.000000,0.00000000
20000000000,u,0.2,0.3,172,172.000000,0.000000,0.00000000
20000000000,u,0.3,0.4,1368,1368.000000,0.000000,0.00000000
20000000000,u,0.4,0.5,11562,11562.000000,0.000000,0.00000000
20000000000,u,0.5,0.6,102152,102152.000000,0.000000,0.00000000
20000000000,u,0.6,0.7,930580,930580.000000,0.000000,0.00000000
20000000000,u,0.7,0.8,8671093,8665632.491482,5460.508518,0.00063013
20000000000,u,0.8,0.9,53524913,51650258.943552,1874654.056448,0.03629515
20000000000,u,0.9,1.0,59534928,59730861.155364,-195933.155364,-0.00328027
20000000000,decade,1,10,2,2.000000,0.000000,0.00000000
20000000000,decade,10,100,21,21.000000,0.000000,0.00000000
20000000000,decade,100,1000,143,143.000000,0.000000,0.00000000
