X,lam_lo,lam_hi,lam_mid,n_q,mu_emp,lam_mean,var_N,var_over_mu,under,P_N0,P_N1,P_N2,P_Nge3,m2_fact,m3_fact,m4_fact,kappa2F,kappa3F,kappa4F,S2,S3,S3_over_S2,Q,Q_2nd,Q_minus_Q2,rel_err_Q2,T,sign_k2_neg,sign_k3_pos,sign_k4_neg,sign_ok
1000000000,1.1892071,1.4142136,1.3017104,389182,1.2526659,1.29544,0.96204246,0.76799608,0.04653519,0.23920685,0.39434249,0.26100899,0.10544167,1.2785483,1.0289428,0.63147833,-0.29062339,0.1554569,-0.12692162,0.29062339,0.077728449,0.26745421,1.120745,1.105647,0.015097996,0.013471393,2.5022299,1,1,1,1
1000000000,1.4142136,1.6817928,1.5480032,330111,1.5226636,1.5405495,1.1392356,0.74818599,0.04673018,0.17139992,0.35528958,0.2988207,0.17448979,1.9350764,1.9986005,1.6076774,-0.38342802,0.21979389,-0.2136477,0.38342802,0.10989695,0.28661689,1.1174497,1.0952209,0.02222881,0.019892448,2.433942,1,1,1,1
1000000000,1.6817928,2,1.8408964,280857,1.7813692,1.8319695,1.3223284,0.74231015,0.04191599,0.12649142,0.30684298,0.3156731,0.2509925,2.7142354,3.4625877,3.5911514,-0.45904075,0.26297462,-0.24452637,0.45904075,0.13148731,0.2864393,1.0844194,1.0761993,0.008220073,0.0075801603,1.749446,1,1,1,1
1000000000,2,2.3784142,2.1892071,238298,2.1433709,2.178705,1.5795715,0.73695668,0.03536984,0.08188906,0.24367389,0.3090626,0.36537445,4.0302394,6.5523169,9.022283,-0.56379939,0.33088129,-0.33262663,0.56379939,0.16544064,0.29343885,1.0700219,1.0546761,0.015345802,0.014341578,1.4510815,1,1,1,1
1000000000,2.3784142,2.8284271,2.6034206,202392,2.5568056,2.5907598,1.8655031,0.72962258,0.02805407,0.049498,0.17877683,0.28049528,0.49122989,5.8459524,11.844065,21.01589,-0.69130249,0.43215327,-0.45791308,0.69130249,0.21607664,0.31256453,1.0465604,1.0355507,0.011009709,0.010519898,0.9648843,1,1,1,1
1000000000,2.8284271,3.3635857,3.0960064,172234,3.0471161,3.0808897,2.2014623,0.72247403,0.0198763,0.0276194,0.11898348,0.22907208,0.62432505,8.4392629,21.074863,47.007165,-0.84565386,0.5130603,-0.49036846,0.84565386,0.25653015,0.30335124,0.9897343,0.9908207,-0.0010863945,-0.0010976628,-0.21273877,1,1,1,1
1000000000,3.3635857,4,3.6817928,146123,3.6241112,3.6639789,2.5821803,0.7125003,0.01369742,0.01297537,0.06996161,0.16872087,0.74834215,12.092251,37.031213,103.74662,-1.0419309,0.7596979,-0.92042975,1.0419309,0.37984895,0.36456252,0.98573764,0.98255895,0.0031786914,0.0032246829,-0.29556259,1,1,1,1
10000000000,0.5,0.59460356,0.54730178,7048367,0.51573776,0.54464405,0.42397793,0.82208045,0.0309447,0.56611524,0.35721125,0.07157431,0.0050992,0.1742256,0.03204061,0.00192725,-0.091759832,0.03683391,-0.023626478,0.091759832,0.018416955,0.20070825,1.1296547,1.1108655,0.018789196,0.016632689,2.9854106,1,1,1,1
10000000000,0.59460356,0.70710678,0.65085517,5976271,0.60019333,0.64769546,0.49120258,0.81840726,0.03364707,0.51505847,0.37976089,0.09540715,0.00977349,0.25124128,0.06399911,0.00714425,-0.10899075,0.044036806,-0.028410446,0.10899075,0.022018403,0.20202084,1.125248,1.1074329,0.017815137,0.015832188,2.883942,1,1,1,1
10000000000,0.70710678,0.84089642,0.7740016,5069425,0.75649625,0.77023793,0.60952694,0.80572368,0.03900228,0.43030561,0.40724047,0.13958644,0.02286748,0.42531727,0.1643642,0.03757586,-0.14696931,0.064976741,-0.046703275,0.14696931,0.032488371,0.22105548,1.1309294,1.110628,0.020301408,0.017951084,3.0147609,1,1,1,1
