X,lam_lo,lam_hi,lam_mid,width,n_q,mu_emp,lam_mean,P0_emp,under,g_lam,var_N,mu_minus_var,var_over_mu,Q,Q_lam,exp_m_mu
1000000000,0.95136569,1.13137080,1.04136825,0.18000511,480256,0.98523288,1.03633620,0.32800007,0.04535221,0.02675198,0.77089984,0.21433304,0.78245444,1.13349740,0.66861791,0.37335227
1000000000,1.13137080,1.34543430,1.23840255,0.21406350,407807,1.21122492,1.23245360,0.25082453,0.04700770,0.04075176,0.93114217,0.28008275,0.76876075,1.12704417,0.97705341,0.29783224
1000000000,1.34543430,1.60000000,1.47271715,0.25456570,346142,1.44989340,1.46559907,0.18806444,0.04653086,0.04287517,1.09064618,0.35924722,0.75222508,1.10422700,1.01747357,0.23459530
1000000000,1.60000000,1.90273140,1.75136570,0.30273140,294129,1.69913881,1.74290188,0.13953401,0.04330690,0.03547779,1.27193236,0.42720645,0.74857472,1.10885792,0.90839631,0.18284092
1000000000,1.90273140,2.26274170,2.08273655,0.36001030,249937,2.02316984,2.07268500,0.09482790,0.03740774,0.03101953,1.49726861,0.52590123,0.74006076,1.07581793,0.89209791,0.13223563
1000000000,2.26274170,2.69086850,2.47680510,0.42812680,212140,2.43537287,2.46489853,0.05758461,0.02998048,0.02743285,1.78102650,0.65434637,0.73131574,1.04647746,0.95755169,0.08756509
1000000000,2.69086850,3.20000000,2.94543425,0.50913150,180345,2.89654828,2.93117129,0.03229920,0.02291427,0.02103533,2.09056476,0.80598352,0.72174345,1.02982823,0.94538367,0.05521347
1000000000,3.20000000,3.80546280,3.50273140,0.60546280,153254,3.44311405,3.48571827,0.01672387,0.01524112,0.01390788,2.46406337,0.97905068,0.71564965,0.97401835,0.88881462,0.03196499
1000000000,3.80546280,4.52548340,4.16547310,0.72002060,130194,4.12078130,4.14550627,0.00737361,0.00885822,0.00846181,2.92796684,1.19281446,0.71053682,0.91503170,0.87408356,0.01623183
1000000000,4.52548340,5.38173710,4.95361025,0.85625370,110692,4.86556391,4.92948495,0.00308965,0.00461783,0.00414057,3.40977177,1.45579214,0.70079683,0.82310668,0.73803730,0.00770748
1000000000,5.38173710,6.40000000,5.89086855,1.01826290,94040,5.83923862,5.86234175,0.00096767,0.00194338,0.00187690,4.04216939,1.79706923,0.69224254,0.74297128,0.71755539,0.00291106
1000000000,6.40000000,7.61092550,7.00546275,1.21092550,80054,6.93900367,6.97211581,0.00023734,0.00073189,0.00070033,4.82905482,2.10994885,0.69592914,0.71577230,0.68490731,0.00096923
1000000000,7.61092550,8.00000000,7.80546275,0.38907450,20641,7.75156242,7.80199197,0.00000000,0.00043007,0.00040892,5.20439960,2.54716282,0.67140008,0.78518722,0.74657325,0.00043007
10000000000,0.20000000,0.23784142,0.21892071,0.03784142,16868926,0.23475110,0.21785321,0.77651411,0.01425354,0.02772938,0.20217344,0.03257766,0.86122468,1.10658290,2.15278856,0.79076764
10000000000,0.23784142,0.28284271,0.26034207,0.04500129,14298883,0.23644749,0.25907433,0.77502166,0.01440568,-0.00325600,0.20347837,0.03296912,0.86056473,1.10699139,-0.25020436,0.78942733
10000000000,0.28284271,0.33635857,0.30960064,0.05351586,12123507,0.23837739,0.30809311,0.77324985,0.01465543,-0.03840296,0.20480810,0.03356929,0.85917587,1.10818531,-2.90387906,0.78790528
10000000000,0.33635857,0.40000000,0.36817929,0.06364143,10278614,0.30043788,0.36638636,0.72284824,0.01764567,-0.02961332,0.25754419,0.04289369,0.85722941,1.11110027,-1.86467093,0.74049390
10000000000,0.40000000,0.47568285,0.43784143,0.07568285,8715582,0.39454118,0.43571517,0.65074576,0.02324345,-0.00394383,0.33302958,0.06151160,0.84409333,1.12129690,-0.19025594,0.67398921
10000000000,0.47568285,0.56568542,0.52068413,0.09000257,7389981,0.51446262,0.51815264,0.56701255,0.03080921,0.02860730,0.42317369,0.09128893,0.82255478,1.12906961,1.04837589,0.59782176
10000000000,0.56568542,0.67271713,0.61920127,0.10703171,6267166,0.55967546,0.61618808,0.53941734,0.03197714,0.00058161,0.46034318,0.09933228,0.82251807,1.12679049,0.02049441,0.57139448
10000000000,0.67271713,0.80000000,0.73635856,0.12728287,5315405,0.72096087,0.73278165,0.44816886,0.03811592,0.03240149,0.58252447,0.13843640,0.80798348,1.13238845,0.96261807,0.48628478
10000000000,0.80000000,0.95136569,0.87568285,0.15136569,4507604,0.81883879,0.87141870,0.40152152,0.03942187,0.01683608,0.65985038,0.15898841,0.80583674,1.12465397,0.48031116,0.44094339
10000000000,0.95136569,1.13137080,1.04136825,0.18000511,3824099,1.02948459,1.03630143,0.31491706,0.04227396,0.03984732,0.81818372,0.21130087,0.79475082,1.12021432,1.05591098,0.35719101
10000000000,1.13137080,1.34543430,1.23840255,0.21406350,3244020,1.20956067,1.23238839,0.25632549,0.04200283,0.03526982,0.95618204,0.25337863,0.79052012,1.11133269,0.93318721,0.29832832
10000000000,1.34543430,1.60000000,1.47271715,0.25456570,2751380,1.43383320,1.46556769,0.19648794,0.04190541,0.03445890,1.11549307,0.31834013,0.77797966,1.10436986,0.90812548,0.23839336
10000000000,1.60000000,1.90273140,1.75136570,0.30273140,2334699,1.70083296,1.74286029,0.14393162,0.03859980,0.03108746,1.31249523,0.38833773,0.77167791,1.08910018,0.87713818,0.18253142
10000000000,1.90273140,2.26274170,2.08273655,0.36001030,1981035,2.02913578,2.07260352,0.09754346,0.03390562,0.02831423,1.54578355,0.48335223,0.76179404,1.06728506,0.89127864,0.13144907
10000000000,2.26274170,2.69086850,2.47680510,0.42812680,1680826,2.44612827,2.46482748,0.06002703,0.02660131,0.02499648,1.85228005,0.59384822,0.75722932,1.03418342,0.97179218,0.08662834
10000000000,2.69086850,3.20000000,2.94543425,0.50913150,1426488,2.88013920,2.93114104,0.03550538,0.02062157,0.01783076,2.15356890,0.72657030,0.74773084,1.01135271,0.87448179,0.05612695
10000000000,3.20000000,3.80546280,3.50273140,0.60546280,1210658,3.46802978,3.48576994,0.01760282,0.01357557,0.01302734,2.57617518,0.89185460,0.74283537,0.97642796,0.93699632,0.03117840
10000000000,3.80546280,4.52548340,4.16547310,0.72002060,1027447,4.09586577,4.14539951,0.00826807,0.00837327,0.00756904,3.00839898,1.08746679,0.73449648,0.92538188,0.83650145,0.01664133
