rank,label,form,digits,B,K_cert,n_kills,compression_ratio,q_mod_3,m0_note,wall_s,forb_s,walk_s,n_active_r,skipped_qmod0,reused,skipped,skip_reason,first_survivor,kill_table
67,2^15317227+2^7658614+1,GaussMersenne,4610945,10000000,56,18,256164,1,m0=q+1 (not a 2-power sink),1.4150,1.3766,0.0384,664578,0,0,0,,"k=56, ε=-1 (class A)",2:A:5;4:B:7;8:A:146203;10:B:13;14:A:87517;16:B:11;20:A:19;22:B:71;26:A:34253;28:B:5;32:A:5;34:B:61;38:A:7;40:B:137;44:A:73;46:B:7;50:A:11;52:B:47
68,13*2^15294536+1,Proth,4604116,10000000,44,14,328865,2,m0=q-1 (not a 2-power sink),0.9272,0.8900,0.0371,664578,0,0,0,,"k=44, ε=+1 (class B)",2:B:71;4:A:5;8:B:31;10:A:1217;14:B:19;16:A:7;20:B:43;22:A:2141;26:B:5;28:A:17;32:B:2797;34:A:5;38:B:13;40:A:11
69,6*5^6546983+1,GenPow,4576146,10000000,8,2,2.28807e+06,1,m0=q+1 (not a 2-power sink),0.9872,0.9488,0.0383,664578,0,0,0,,"k=8, ε=-1 (class A)",2:A:173;4:B:5
70,4788920*3^9577840-1,GenPow,4569798,10000000,2,0,4.5698e+06,2,m0=q-1 (not a 2-power sink),0.9573,0.9167,0.0407,664578,0,0,0,,"k=2, ε=+1 (class B)",
71,31*2^15145093-1,Riesel,4559129,10000000,2,0,4.55913e+06,1,m0=q+1 (not a 2-power sink),0.9375,0.9003,0.0372,664578,0,0,0,,"k=2, ε=-1 (class A)",
72,69*2^14977631-1,Riesel,4508719,10000000,70,23,196031,2,m0=q-1 (not a 2-power sink),1.0169,0.9445,0.0725,664578,0,0,0,,"k=70, ε=-1 (class A)",2:B:11;4:A:7;8:B:8670887;10:A:43;14:B:5;16:A:5;20:B:2243;22:A:23;26:B:19;28:A:59;32:B:28607;34:A:4057;38:B:7;40:A:13;44:B:5;46:A:5;50:B:31;52:A:12919;56:B:2447;58:A:53;62:B:1006769;64:A:11;68:B:11
73,192971*2^14773498-1,Riesel,4447272,10000000,34,11,404297,1,m0=q+1 (not a 2-power sink),1.0043,0.9663,0.0380,664578,0,0,0,,"k=34, ε=+1 (class B)",2:A:5;4:B:47;8:A:17;10:B:61;14:A:11;16:B:7;20:A:13;22:B:59;26:A:7;28:B:5;32:A:5
74,4*3^9214845+1,GenPow,4396600,10000000,4,1,4.3966e+06,1,m0=q+1 (not a 2-power sink),0.9981,0.9616,0.0364,664578,0,0,0,,"k=4, ε=+1 (class B)",2:A:5
75,9145334*3^9145334+1,GenPow,4363441,10000000,116,38,114827,1,m0=q+1 (not a 2-power sink),1.0263,0.9793,0.0470,664578,0,0,0,,"k=116, ε=-1 (class A)",2:A:6203;4:B:7;8:A:5;10:B:11;14:A:101;16:B:107;20:A:13;22:B:5;26:A:443;28:B:273283;32:A:59;34:B:47;38:A:5;40:B:31;44:A:1961489;46:B:7;50:A:23;52:B:5;56:A:11;58:B:13;62:A:227;64:B:1049;68:A:5;70:B:97;74:A:103;76:B:11;80:A:7;82:B:5;86:A:119389;88:B:7;92:A:1637;94:B:29;98:A:5;100:B:37;104:A:41;106:B:233;110:A:457;112:B:5
76,4*5^6181673-1,GenPow,4320805,10000000,8,2,2.1604e+06,1,m0=q+1 (not a 2-power sink),0.9602,0.9232,0.0371,664578,0,0,0,,"k=8, ε=-1 (class A)",2:A:7;4:B:12829
77,396101*2^14259638-1,Riesel,4292585,10000000,16,5,858517,1,m0=q+1 (not a 2-power sink),0.9985,0.9623,0.0362,664578,0,0,0,,"k=16, ε=+1 (class B)",2:A:5;4:B:29;8:A:19;10:B:7;14:A:1949
78,6962*31^2863120-1,GenPow,4269952,10000000,16,5,853990,1,m0=q+1 (not a 2-power sink),0.9457,0.9075,0.0382,664578,0,0,0,,"k=16, ε=+1 (class B)",2:A:47;4:B:5;8:A:7;10:B:19;14:A:107
