source,ell,r,k,a,b,N,door,r_mod3,m0,m1,v2_door,exact_2_door,cof_primes,gold_primes,match_mod3_rule
germain,19,871303,22929,,,,m1,1,871304,871302,1,True,3;7643,7;15559,True
germain,19,871531,22935,,,,m1,1,871532,871530,1,True,3;5;11;139,53;4111,True
germain,19,871987,22947,,,,m1,1,871988,871986,1,True,3;7649,13;41;409,True
germain,19,872177,22952,,,,m0,2,872176,872178,4,False,151,19;151,True
germain,19,872671,22965,,,,m1,1,872672,872670,1,True,3;5;1531,27271,True
germain,19,872747,22967,,,,m0,2,872746,872748,1,True,7;17;193,7;17;19;193,True
germain,19,873317,22982,,,,m0,2,873316,873318,2,False,11491,19;11491,True
germain,19,873469,22986,,,,m1,1,873470,873468,2,False,3;1277,5;13;6719,True
germain,19,873659,22991,,,,m0,2,873658,873660,1,True,83;277,19;83;277,True
germain,19,873773,22994,,,,m0,2,873772,873774,2,False,11497,19;11497,True
germain,19,874001,23000,,,,m0,2,874000,874002,4,False,5;23,5;19;23,True
germain,19,874229,23006,,,,m0,2,874228,874230,2,False,11503,19;11503,True
germain,19,874267,23007,,,,m1,1,874268,874266,1,True,3;7669,127;1721,True
germain,19,874343,23009,,,,m0,2,874342,874344,1,True,7;173,7;19;173,True
germain,19,874457,23012,,,,m0,2,874456,874458,3,False,11;523,11;19;523,True
germain,19,874723,23019,,,,m1,1,874724,874722,1,True,3;7673,218681,True
germain,19,874799,23021,,,,m0,2,874798,874800,1,True,23021,19;23021,True
germain,19,875027,23027,,,,m0,2,875026,875028,1,True,23027,19;23027,True
germain,19,875141,23030,,,,m0,2,875140,875142,2,False,5;7;47,5;7;19;47,True
germain,19,875521,23040,,,,m1,1,875522,875520,10,False,3;5,97;4513,True
germain,19,875711,23045,,,,m0,2,875710,875712,1,True,5;11;419,5;11;19;419,True
germain,19,876433,23064,,,,m1,1,876434,876432,4,False,3;31,13;2593,True
germain,19,876661,23070,,,,m1,1,876662,876660,2,False,3;5;769,41;10691,True
germain,19,876851,23075,,,,m0,2,876850,876852,1,True,5;13;71,5;13;19;71,True
germain,19,877003,23079,,,,m1,1,877004,877002,1,True,3;7;157,219251,True
germain,19,877117,23082,,,,m1,1,877118,877116,2,False,3;3847,11;39869,True
germain,19,877573,23094,,,,m1,1,877574,877572,2,False,3;1283,17;53;487,True
germain,19,878789,23126,,,,m0,2,878788,878790,2,False,31;373,19;31;373,True
germain,19,879169,23136,,,,m1,1,879170,879168,6,False,3;241,5;87917,True
germain,19,879283,23139,,,,m1,1,879284,879282,1,True,3;857,7;31;1013,True
germain,19,879701,23150,,,,m0,2,879700,879702,2,False,5;463,5;19;463,True
germain,19,880043,23159,,,,m0,2,880042,880044,1,True,23159,19;23159,True
germain,19,880423,23169,,,,m1,1,880424,880422,1,True,3;7723,167;659,True
germain,19,880727,23177,,,,m0,2,880726,880728,1,True,7;11;43,7;11;19;43,True
germain,19,880993,23184,,,,m1,1,880994,880992,5,False,3;7;23,440497,True
germain,19,881411,23195,,,,m0,2,881410,881412,1,True,5;4639,5;19;4639,True
